"","Obs","Pow","Multi","Power_weight","rows","Lee_Pow","Lee_Mult","Best_mod","Best","LEE_Best","Best_pred","Best_pred2"
"1",20,15.6955450178629,39.3809849282474,0.137804056963449,26,-0.105253594765177,0.294256578087174,"linear",39.8368488788238,0.299254982464627,1,1
"2",27,30.2578814223558,26.5413617822474,0.0891704712760807,6,0.0494747524300101,-0.00744056230942536,"negexpo",23.4962160315267,-0.0603658375871845,0,2
"3",35,38.4483227523716,39.3129929650282,0.203225210650951,6,0.0408093547864552,0.0504680643061393,"power",38.4483227523716,0.0408093547864552,1,3
"4",34,42.344149279788,42.0654577892996,0.158549346770384,12,0.0953144950025921,0.0924467025682207,"monod",38.8674624707473,0.0581072708510262,0,3
"5",42,56.2440626156826,53.1131483748267,0.145643585163174,11,0.126827392663824,0.101952755349766,"monod",46.8180779674814,0.0471642901448759,0,3
"6",73,67.378574078173,55.9815456300806,0.0689800304693102,15,-0.0348010442817335,-0.115277975112349,"koba",60.2462958574471,-0.0833925099212454,1,1
"7",33,34.8686855825547,29.6576855231191,0.0287686332951138,6,0.0239216365487742,-0.0463766840742033,"negexpo",28.5417395217479,-0.063033501524127,1,1
"8",40,52.8792586722883,38.9886451005008,0.0616214892963365,11,0.121225366708032,-0.0111218481020221,"loga",44.2743292984457,0.0440919995575195,0,2
"9",44,150.584513055046,60.0804326941309,0.032209221155618,10,0.534327632426388,0.135280375272853,"negexpo",41.1587313106071,-0.0289906970161604,0,3
"10",5,25.033908224663,16.4626637321964,0.166384201798969,7,0.699558651421137,0.517530103004256,"loga",7.91666666666667,0.199572354905204,0,3
"11",20,18.1813913778448,13.3562818102037,NA,43,-0.0414028800014608,-0.175344421810156,"logistic",13.6348939242892,-0.16637823206437,1,1
"12",9,18.3968313076632,20.0845250103778,0.180168205332229,13,0.310500516608016,0.348619055888454,"linear",24.5303672135673,0.435461540097361,1,1
"13",8,7.09934199603346,6.92915626038995,0.169167815344776,10,-0.0518718890805497,-0.062409631711371,"loga",6.96180213653478,-0.0603683110819156,1,1
"14",10,16.1255176207064,20.9296427543087,0.15788986878682,15,0.207513664157445,0.320761815478843,"linear",25.0640652396029,0.399051512306248,1,1
"15",113,147.569706139915,86.1572379791685,0.279891326975268,10,0.115918768972505,-0.117786675542995,"power",147.5876498929,0.115971573842559,0,2
"16",78,90.3570674013201,66148.3693648886,NA,24,0.0638675244705049,2.92842454009518,"linear",2728.21282335498,1.54378364320727,1,1
"17",36,33.0207467313274,140.286359874913,0.188425380979701,12,-0.0375156105919345,0.590712945606494,"power",33.0207467313274,-0.0375156105919345,1,3
"18",41,40.2263986971677,39.9863932293778,0.346688996452278,7,-0.00827270299401328,-0.0108716241596369,"power",40.2263986971677,-0.00827270299401328,1,3
"19",6,4.60017978244474,7.65177072515996,NA,9,-0.115376445441645,0.105610698126654,"epm2",8.06051408590636,0.128211490869646,1,1
"20",4,4.19111431395744,6.28694946022183,0.177323371573794,7,0.0202695151856386,0.196379977812586,"linear",7.72891403861346,0.286058485750844,1,1
"21",37,42.7276722705959,31.3470731056519,0.0193952044411016,46,0.0625075097852674,-0.0720047273342601,"koba",32.6577479901622,-0.0542154906708345,0,3
